assembly,body,engine,transmission,fuel,car_age,city_grouped,registered_grouped,log_mileage,make_freq,model_freq,Actual,Predicted,Error,Abs_Error
Local,Hatchback,1000,0,Petrol,19,Karachi,Sindh,11.51293546492023,0.2909941216589263,0.05779286155045305,899999.9999999995,817919.5515215646,82080.44847843493,82080.44847843493
Local,Hatchback,800,0,Petrol,28,Karachi,Karachi,11.407576060361786,0.2909941216589263,0.06034230781721932,349999.9999999997,326142.23489869374,23857.765101305966,23857.765101305966
Local,Sedan,1300,0,Petrol,12,Peshawar,Islamabad,11.512925464970229,0.3168458315741613,0.16566529180604722,3099999.9999999986,3037857.322165833,62142.67783416575,62142.67783416575
Imported,Unknown,660,1,Petrol,12,Multan,Karachi,11.407576060361786,0.01946997499269267,0.005180085089798967,2174999.999999999,2053110.984519012,121889.01548098703,121889.01548098703
Imported,Unknown,660,0,Petrol,10,Sialkot,Lahore,12.691583538230217,0.01946997499269267,0.0019810983729011723,1150000.0000000005,1848658.0265563487,-698658.0265563482,698658.0265563482
Local,Hatchback,1000,1,Petrol,4,Faisalabad,Punjab,7.848153086199526,0.2909941216589263,0.05779286155045305,4199999.999999997,4029260.548599409,170739.45140058827,170739.45140058827
Local,Hatchback,1000,0,Petrol,22,Multan,Multan,11.225256725762893,0.2909941216589263,0.05779286155045305,719999.9999999995,720741.3807296827,-741.3807296832092,741.3807296832092
Local,Sedan,1798,1,Petrol,8,Karachi,Karachi,10.778977123006351,0.3168458315741613,0.16566529180604722,4949999.999999997,5066856.826698086,-116856.82669808902,116856.82669808902
Imported,Unknown,4200,0,Diesel,36,Lahore,Punjab,11.51293546492023,0.3168458315741613,0.009532006105680231,3499999.9999999995,2551160.9647029038,948839.0352970958,948839.0352970958
Local,MPV,1500,1,Petrol,8,Islamabad,Islamabad,9.798182590890704,0.21353642298074113,0.007908154980351401,4999999.999999999,5027359.78871554,-27359.788715541363,27359.788715541363
Imported,Sedan,2000,1,Petrol,24,Other,Islamabad,12.25486757159303,0.3168458315741613,0.002614400311779416,3149999.9999999995,2585624.37186321,564375.6281367894,564375.6281367894
Local,Hatchback,1000,0,Petrol,31,Karachi,Karachi,11.736077016252437,0.040807378779513494,0.003962196745802345,199999.99999999997,308784.5901882243,-108784.5901882243,108784.5901882243
Imported,Sedan,1300,0,Petrol,11,Other,Lahore,11.744045122410057,0.3168458315741613,0.16566529180604722,2719999.999999998,895098.1635577918,1824901.8364422063,1824901.8364422063
Imported,Double Cabin,3000,1,Diesel,17,Peshawar,Karachi,11.863589378812122,0.3168458315741613,0.014744568217985775,5100000.000000003,5405245.117177536,-305245.117177533,305245.117177533
Local,Sedan,1300,1,Petrol,9,Lahore,Islamabad,11.302216779257382,0.3168458315741613,0.16566529180604722,4050000.0000000033,3983585.8856916274,66414.11430837587,66414.11430837587
Local,Hatchback,800,0,Petrol,22,Islamabad,Islamabad,11.250170124042306,0.2909941216589263,0.06034230781721932,649999.9999999995,739553.939737462,-89553.93973746244,89553.93973746244
Local,Hatchback,800,0,Petrol,15,Lahore,Lahore,10.386068010861816,0.2909941216589263,0.06034230781721932,850000.0000000005,797676.5591163014,52323.440883699106,52323.440883699106
Local,Hatchback,1000,0,Petrol,18,Karachi,Sindh,11.431021025348743,0.2909941216589263,0.05779286155045305,880000.0,850096.0688414514,29903.93115854857,29903.93115854857
Local,Sedan,1598,1,Petrol,4,Lahore,Punjab,9.61587214452889,0.3168458315741613,0.16566529180604722,6499999.999999999,6396305.457364664,103694.54263533466,103694.54263533466
Imported,Crossover,1498,1,Petrol,4,Islamabad,Islamabad,10.043292972227004,0.0029229320255918937,0.0029066935143386053,6549999.999999996,6362400.951906323,187599.04809367284,187599.04809367284
Local,Sedan,1500,1,Petrol,4,Lahore,Lahore,9.210440366976517,0.3168458315741613,0.01640089636582118,5250000.0,5200495.817995094,49504.18200490624,49504.18200490624
Local,Hatchback,796,0,Petrol,12,Islamabad,Islamabad,11.751950239425476,0.2909941216589263,0.06034230781721932,1150000.0000000005,1012667.7074491523,137332.29255084821,137332.29255084821
Local,Hatchback,1000,0,Petrol,14,Karachi,Karachi,11.669937760751914,0.2909941216589263,0.05779286155045305,1160000.0000000002,1241372.899408435,-81372.89940843475,81372.89940843475
Local,Sedan,1497,1,Petrol,4,Lahore,Punjab,9.392745258631441,0.21353642298074113,0.06985807541164626,5575000.0,5543991.364047852,31008.635952147655,31008.635952147655
Local,SUV,2000,1,Petrol,4,Lahore,Un-Registered,8.006700845440367,0.002143483485434055,0.0015101815465558117,11599999.999999983,11520889.8609062,79110.13909378275,79110.13909378275
Imported,Van,1500,1,Petrol,20,Rawalpindi,Lahore,9.90353755128617,0.3168458315741613,0.0006657789613848203,1949999.999999999,2115200.3429656685,-165200.34296566946,165200.34296566946
Local,Hatchback,800,0,Petrol,18,Peshawar,Punjab,11.723648196284437,0.2909941216589263,0.06034230781721932,600000.0000000003,647248.9571876341,-47248.95718763373,47248.95718763373
Local,Sedan,1800,1,Petrol,7,Lahore,Punjab,10.87806606028079,0.21353642298074113,0.10736903640674222,5800000.0,5957630.392632809,-157630.39263280854,157630.39263280854
Local,Double Cabin,3000,1,Diesel,8,Rawalpindi,Sindh,11.082157933374816,0.3168458315741613,0.014744568217985775,9999999.999999996,9052663.010296836,947336.9897031598,947336.9897031598
Local,SUV,2800,1,Diesel,5,Lahore,Un-Registered,10.434145214930487,0.3168458315741613,0.011025949140982755,19200000.000000026,20746865.38907144,-1546865.3890714124,1546865.3890714124
Local,Hatchback,1000,0,Petrol,23,Sargodha,Multan,10.72961284769053,0.2909941216589263,0.05779286155045305,649999.9999999995,734812.6396260803,-84812.63962608075,84812.63962608075
Local,Sedan,1300,0,Petrol,15,Other,Lahore,11.982935344196433,0.3168458315741613,0.16566529180604722,2470000.0000000014,2436204.380548433,33795.61945156846,33795.61945156846
Imported,Hatchback,1300,1,Petrol,21,Other,Karachi,11.652696102959753,0.3168458315741613,0.024715014127504792,2250000.000000001,1839662.2239235314,410337.77607646957,410337.77607646957
Imported,Sedan,3500,1,Petrol,11,Lahore,Lahore,11.440365524765756,0.007550907732779059,0.007550907732779059,39999999.999999985,17665666.409771882,22334333.590228103,22334333.590228103
Local,Hatchback,660,0,Petrol,5,Rawalpindi,Islamabad,10.203629181337648,0.2909941216589263,0.05707836705530837,2425000.000000001,2422572.5410974403,2427.45890256064,2427.45890256064
Local,Sedan,1800,1,Petrol,6,Lahore,Lahore,10.202665790126336,0.21353642298074113,0.10736903640674222,5800000.0,6640950.984896499,-840950.9848964987,840950.9848964987
Local,Unknown,1500,1,Petrol,19,Karachi,Karachi,12.066816325306588,0.01946997499269267,0.0006333019388782437,1400000.0000000007,1612684.2351543105,-212684.23515430978,212684.23515430978
Local,Hatchback,1000,0,Petrol,7,Sargodha,Lahore,10.408315224498482,0.2909941216589263,0.030479685622422138,2499999.9999999995,2589124.3516605957,-89124.3516605962,89124.3516605962
Local,Crossover,1500,1,Petrol,4,Karachi,Karachi,8.160803920954665,0.21353642298074113,0.00248449222175311,7599999.999999995,7488210.951230474,111789.04876952153,111789.04876952153
Local,Unknown,1500,0,Petrol,22,Rawalpindi,Sindh,11.51293546492023,0.21353642298074113,0.0036699035432431553,310000.0000000002,660666.2129889108,-350666.2129889107,350666.2129889107
Imported,Sedan,1598,1,Petrol,4,Other,Islamabad,9.90353755128617,0.3168458315741613,0.16566529180604722,6350000.0,6570096.2368688565,-220096.23686885647,220096.23686885647
Local,Sedan,1300,0,Petrol,12,Other,Punjab,11.156264806643742,0.3168458315741613,0.16566529180604722,2550000.0,3334787.6445696913,-784787.6445696913,784787.6445696913
Local,Sedan,1300,0,Petrol,12,Other,Lahore,7.118826249062078,0.3168458315741613,0.16566529180604722,2529999.9999999977,2896698.3422542745,-366698.34225427685,366698.34225427685
Local,Hatchback,1000,0,Petrol,25,Faisalabad,Faisalabad,12.206077645517674,0.01860933389626839,0.006933844305154103,649999.9999999995,704486.8349416101,-54486.83494161058,54486.83494161058
Imported,Hatchback,660,1,Petrol,17,Islamabad,Lahore,11.51293546492023,0.2909941216589263,0.05707836705530837,1600000.0000000012,1659739.4095981603,-59739.40959815914,59739.40959815914
Imported,Sedan,1800,1,Petrol,17,Lahore,Lahore,11.51293546492023,0.21353642298074113,0.10736903640674222,2550000.0,2311958.591053454,238041.4089465458,238041.4089465458
Local,Unknown,1000,0,Petrol,15,Lahore,Punjab,11.657415343455176,0.0002435776687993245,0.00027605469130590106,649999.9999999995,786985.8587766063,-136985.85877660674,136985.85877660674
Imported,Mini Van,660,1,Petrol,12,Karachi,Karachi,11.723648196284437,0.040807378779513494,0.004222012925854958,1575000.0000000002,1708968.201895993,-133968.20189599274,133968.20189599274
Local,Hatchback,1000,0,Petrol,6,Other,Punjab,10.34177474101152,0.2909941216589263,0.05779286155045305,3550000.0000000014,3066255.6260029753,483744.3739970261,483744.3739970261
Local,Sedan,1300,0,Petrol,10,Karachi,Sindh,11.002116507732017,0.3168458315741613,0.16566529180604722,3550000.0000000014,3615730.3233573097,-65730.32335730828,65730.32335730828
Local,Hatchback,800,0,Petrol,19,Lahore,Lahore,11.127277689932466,0.2909941216589263,0.06034230781721932,685000.0000000005,679635.3698494846,5364.630150515819,5364.630150515819
Imported,Unknown,1300,0,Petrol,11,Islamabad,Rawalpindi,11.552540331204208,0.3168458315741613,0.16566529180604722,280000.0,569419.4203381567,-289419.42033815675,289419.42033815675
Imported,Unknown,660,1,Petrol,6,Gujranwala,Un-Registered,9.581972891547895,0.21353642298074113,0.004433113572147706,4124999.999999999,3359722.9604642186,765277.0395357804,765277.0395357804
Local,Hatchback,1000,0,Petrol,17,Lahore,Lahore,12.429220196836383,0.2909941216589263,0.05707836705530837,749999.9999999998,1078056.628018621,-328056.6280186211,328056.6280186211
Local,Hatchback,1000,0,Petrol,4,Sargodha,Punjab,9.741027444837728,0.2909941216589263,0.05779286155045305,3750000.0000000023,3538896.2134256754,211103.78657432692,211103.78657432692
Local,Sedan,1500,0,Petrol,29,Peshawar,Lahore,11.512925464970229,0.21353642298074113,0.10736903640674222,1249999.999999999,956017.319736691,293982.6802633081,293982.6802633081
Local,Hatchback,800,0,Petrol,11,Rawalpindi,Islamabad,11.813037464800539,0.2909941216589263,0.06034230781721932,1050000.0000000007,1200403.421952861,-150403.4219528602,150403.4219528602
Local,Sedan,1300,0,Petrol,11,Faisalabad,Faisalabad,11.720947256613997,0.3168458315741613,0.16566529180604722,310000.0000000002,3018232.386338234,-2708232.386338234,2708232.386338234
Local,Hatchback,1000,1,Petrol,5,Multan,Un-Registered,9.105090961257085,0.2909941216589263,0.030479685622422138,3200000.0000000023,3403401.799290137,-203401.79929013457,203401.79929013457
Imported,Hatchback,998,1,Petrol,4,Lahore,Punjab,9.350189267092581,0.022766392777110196,0.005618524893637751,3389999.9999999977,3311903.8733632574,78096.12663674029,78096.12663674029
Imported,Unknown,3400,1,Petrol,23,Karachi,Sindh,11.695255355062795,0.014062550745347667,0.005277516157318697,4500000.000000002,3982565.0306548676,517434.9693451342,517434.9693451342
Local,Sedan,1798,1,Petrol,8,Islamabad,Lahore,11.211833885608513,0.3168458315741613,0.16566529180604722,4799999.999999999,5412664.69676966,-612664.6967696613,612664.6967696613
Local,Hatchback,660,0,Petrol,4,Islamabad,Islamabad,9.210440366976517,0.2909941216589263,0.05707836705530837,2724999.9999999995,2653247.3988166046,71752.6011833949,71752.6011833949
Local,Hatchback,1300,1,Petrol,6,Karachi,Karachi,10.571342565808699,0.2909941216589263,0.019713552661491995,3000000.000000001,3050423.797074905,-50423.7970749042,50423.7970749042
Imported,Crossover,1500,1,Petrol,10,Sialkot,Islamabad,11.277215789596893,0.21353642298074113,0.009483290571920367,6274999.999999999,6229641.714659279,45358.285340719856,45358.285340719856
Imported,Hatchback,660,1,Petrol,10,Islamabad,Islamabad,11.22712162753022,0.01946997499269267,0.005180085089798967,2680000.0000000014,2587905.784353081,92094.21564692026,92094.21564692026
Local,Sedan,1300,0,Petrol,13,Other,Islamabad,11.87757552297847,0.21353642298074113,0.06985807541164626,2425000.000000001,2589647.122949334,-164647.12294933293,164647.12294933293
Imported,Hatchback,1000,1,Petrol,12,Islamabad,Islamabad,11.51293546492023,0.3168458315741613,0.012146406417459647,2980000.0000000023,2979671.238923713,328.7610762892291,328.7610762892291
Imported,Unknown,2400,0,Diesel,9,Lahore,Other,12.793862088206213,0.3168458315741613,0.014744568217985775,749999.9999999998,1306997.8838184346,-556997.8838184348,556997.8838184348
Local,Sedan,1500,1,Petrol,22,Other,Islamabad,12.206077645517674,0.21353642298074113,0.10736903640674222,1499999.9999999986,1563509.5072422053,-63509.50724220672,63509.50724220672
Imported,Unknown,660,1,Petrol,6,Lahore,Un-Registered,9.99884318585288,0.040807378779513494,0.011691728102367575,3889999.9999999977,3579453.245309419,310546.7546905787,310546.7546905787
Local,Sedan,1600,1,Petrol,6,Karachi,Karachi,11.050905878263567,0.3168458315741613,0.16566529180604722,4974999.999999998,4922663.570458987,52336.42954101134,52336.42954101134
Local,SUV,1999,1,Petrol,4,Lahore,Un-Registered,8.006700845440367,0.01860933389626839,0.005309993179825273,8199999.999999994,8448375.802709017,-248375.80270902254,248375.80270902254
Local,Sedan,1600,1,Petrol,10,Karachi,Karachi,11.002116507732017,0.3168458315741613,0.16566529180604722,4000000.0000000005,3949254.928676323,50745.07132367743,50745.07132367743
Local,Hatchback,1000,1,Petrol,7,Karachi,Sindh,10.778977123006351,0.2909941216589263,0.05779286155045305,2985000.0000000023,3114752.489604203,-129752.4896042007,129752.4896042007
Imported,Hatchback,660,1,Petrol,6,Islamabad,Un-Registered,9.784197131344804,0.2909941216589263,0.05707836705530837,3550000.0000000014,3398883.0001194365,151116.99988056486,151116.99988056486
Local,Sedan,2500,1,Petrol,4,Lahore,Islamabad,10.203629181337648,0.01860933389626839,0.002403299665486668,10899999.999999993,11112347.660927474,-212347.66092748195,212347.66092748195
Local,Hatchback,1000,0,Petrol,12,Rawalpindi,Lahore,11.849404844423074,0.2909941216589263,0.030479685622422138,1849999.9999999995,1708765.96841644,141234.03158355947,141234.03158355947
Local,Hatchback,1000,0,Petrol,14,Other,Lahore,11.350418300109132,0.2909941216589263,0.05707836705530837,1099999.9999999998,1205288.810465956,-105288.81046595634,105288.81046595634
Local,Crossover,1400,1,Petrol,4,Lahore,Lahore,10.085850775128717,0.022766392777110196,0.0011529342989834693,5599999.999999999,5607163.24343573,-7163.243435731158,7163.243435731158
Imported,Unknown,660,1,Petrol,7,Karachi,Un-Registered,10.185315020186113,0.040807378779513494,0.011691728102367575,3600000.0000000014,3610815.935936107,-10815.935936105438,10815.935936105438
Local,Sedan,1500,1,Petrol,4,Rawalpindi,Punjab,10.308985993422082,0.012341268552499106,0.004904030398493066,3900000.000000001,4191308.7362493994,-291308.73624939844,291308.73624939844
Local,Sedan,1800,1,Petrol,7,Peshawar,Islamabad,11.429554725537322,0.21353642298074113,0.10736903640674222,5900000.000000006,5674551.8284517685,225448.1715482371,225448.1715482371
Imported,Unknown,1000,1,Petrol,7,Islamabad,Islamabad,11.082157933374816,0.040807378779513494,0.0006982559838913968,4000000.0000000005,4030930.1733924276,-30930.173392427154,30930.173392427154
Local,MPV,1500,1,Petrol,5,Lahore,Punjab,9.87822102528824,0.21353642298074113,0.007908154980351401,6000000.0,5514854.39851593,485145.6014840696,485145.6014840696
Imported,SUV,4200,1,Diesel,27,Other,Islamabad,12.765691290604371,0.3168458315741613,0.009532006105680231,13000000.000000013,6761795.239394007,6238204.760606006,6238204.760606006
Local,Sedan,1800,1,Petrol,8,Islamabad,Islamabad,11.082157933374816,0.21353642298074113,0.10736903640674222,5400000.000000005,5789375.150892097,-389375.1508920919,389375.1508920919
Local,Hatchback,1000,0,Petrol,10,Other,Lahore,11.652696102959753,0.2909941216589263,0.030479685622422138,1800000.000000001,1896693.0565586188,-96693.05655861786,96693.05655861786
Local,Sedan,1800,1,Petrol,8,Islamabad,Islamabad,11.350418300109132,0.21353642298074113,0.10736903640674222,5650000.000000001,5466084.152436158,183915.84756384324,183915.84756384324
Imported,Sedan,1500,1,Petrol,11,Lahore,Lahore,11.736077016252437,0.21353642298074113,0.000649540450131532,4150000.000000003,4676095.396471497,-526095.3964714939,526095.3964714939
Local,Sedan,1600,1,Petrol,22,Karachi,Sindh,11.695255355062795,0.21353642298074113,0.10736903640674222,1350000.0,1426025.889513986,-76025.88951398595,76025.88951398595
Local,Sedan,1300,1,Petrol,21,Multan,Karachi,10.915106645867503,0.21353642298074113,0.06985807541164626,1499999.9999999986,1565267.4195195956,-65267.419519596966,65267.419519596966
Imported,Unknown,4200,0,Petrol,32,Other,Other,11.918397239722838,0.3168458315741613,0.009532006105680231,2849999.999999999,2624368.700337,225631.29966299888,225631.29966299888
Imported,Sedan,1800,1,Hybrid,14,Karachi,Sindh,11.127277689932466,0.3168458315741613,0.009613198661946673,4999999.999999999,4722661.575907936,277338.42409206275,277338.42409206275
Local,Sedan,1800,1,Petrol,13,Lahore,Lahore,12.149507585033072,0.21353642298074113,0.10736903640674222,3149999.9999999995,3168661.1026154184,-18661.102615418844,18661.102615418844
Imported,Hatchback,1000,1,Petrol,15,Karachi,Sindh,11.289794413577894,0.3168458315741613,0.024715014127504792,2449999.9999999995,2444834.688483496,5165.311516503338,5165.311516503338
Local,Hatchback,800,0,Petrol,34,Lahore,Other,9.220488703027998,0.2909941216589263,0.06034230781721932,301000.00000000023,360081.7149224378,-59081.71492243756,59081.71492243756
Imported,Unknown,1100,1,Petrol,31,Karachi,Sindh,11.918397239722838,0.014062550745347667,0.005277516157318697,950000.0000000008,952251.5761182937,-2251.576118292869,2251.576118292869
Local,Sedan,1300,0,Petrol,19,Other,Sindh,12.54254845357358,0.3168458315741613,0.16566529180604722,1499999.9999999986,1647345.0469701432,-147345.0469701446,147345.0469701446
Local,Crossover,1500,1,Petrol,5,Rawalpindi,Islamabad,10.915106645867503,0.00630054236627586,0.0055373323373713096,6699999.999999995,7184072.210933959,-484072.21093396377,484072.21093396377
Local,Hatchback,800,0,Petrol,29,Islamabad,Lahore,11.723648196284437,0.2909941216589263,0.06034230781721932,409999.9999999997,460513.0713312776,-50513.0713312779,50513.0713312779
Local,SUV,2000,1,Petrol,4,Lahore,Punjab,6.55250788703459,0.01860933389626839,0.005309993179825273,8674999.999999998,9221595.775770087,-546595.7757700887,546595.7757700887
Local,Sedan,1600,1,Petrol,15,Islamabad,Islamabad,11.91170829631447,0.3168458315741613,0.16566529180604722,3424999.999999998,3201099.6085746707,223900.3914253274,223900.3914253274
Local,Hatchback,1000,0,Petrol,6,Lahore,Lahore,10.915106645867503,0.2909941216589263,0.05779286155045305,2900000.0000000014,2770987.9855577364,129012.01444226503,129012.01444226503
Local,Sedan,1600,1,Petrol,14,Islamabad,Islamabad,11.695255355062795,0.3168458315741613,0.16566529180604722,3274999.999999997,3157511.8015287854,117488.19847121183,117488.19847121183
Local,Sedan,1800,1,Petrol,9,Other,Islamabad,11.440365524765756,0.21353642298074113,0.10736903640674222,5500000.000000001,5144233.499223354,355766.50077664666,355766.50077664666
Local,Hatchback,1000,0,Petrol,8,Multan,Lahore,11.775297421715827,0.2909941216589263,0.030479685622422138,2199999.9999999995,2150852.0731283114,49147.926871688105,49147.926871688105
Local,Sedan,1798,1,Petrol,7,Faisalabad,Islamabad,11.39640288460621,0.3168458315741613,0.16566529180604722,6000000.0,5730832.948894807,269167.05110519286,269167.05110519286
Local,MPV,1500,1,Petrol,8,Islamabad,Islamabad,11.002116507732017,0.21353642298074113,0.007908154980351401,4445000.000000002,4665806.490966629,-220806.49096662737,220806.49096662737
Local,Sedan,1800,1,Petrol,5,Other,Punjab,10.434145214930487,0.21353642298074113,0.10736903640674222,7300000.000000004,6865425.052912667,434574.94708733633,434574.94708733633
Local,Sedan,1300,0,Petrol,20,Karachi,Sindh,12.031725210748633,0.21353642298074113,0.06985807541164626,1400000.0000000007,1682509.3398835124,-282509.33988351165,282509.33988351165
Local,Hatchback,1000,0,Petrol,4,Other,Islamabad,9.61587214452889,0.2909941216589263,0.05779286155045305,3274999.999999997,3585254.48525175,-310254.48525175266,310254.48525175266
Local,Sedan,1300,1,Petrol,5,Other,Punjab,10.571342565808699,0.3168458315741613,0.01640089636582118,4300000.000000002,4455777.745612833,-155777.74561283085,155777.74561283085
Imported,Unknown,1300,0,Petrol,19,Islamabad,Islamabad,11.918397239722838,0.2909941216589263,0.0058133870286772105,1350000.0,1095253.4918797265,254746.50812027347,254746.50812027347
Imported,Unknown,800,0,Petrol,18,Other,Karachi,11.31995945647696,0.040807378779513494,0.01021402357831834,800000.0000000005,946989.5283405943,-146989.5283405938,146989.5283405938
Imported,Unknown,660,1,Petrol,7,Karachi,Un-Registered,8.463581421967588,0.040807378779513494,0.011691728102367575,3700000.000000002,3707184.3793198364,-7184.379319834523,7184.379319834523
Local,Hatchback,1000,0,Petrol,18,Lahore,Lahore,11.918397239722838,0.2909941216589263,0.05707836705530837,950000.0000000008,888747.4661306089,61252.53386939189,61252.53386939189
Local,Sedan,1300,0,Petrol,28,Faisalabad,Faisalabad,12.206077645517674,0.2909941216589263,0.004157058880841805,390000.00000000035,654379.0943646367,-264379.09436463634,264379.09436463634
Local,Sedan,1500,1,Petrol,5,Islamabad,Islamabad,10.714439990727769,0.21353642298074113,0.10736903640674222,7750000.000000002,7659273.007055097,90726.9929449046,90726.9929449046
Local,Sedan,1600,0,Petrol,21,Peshawar,Islamabad,9.421087402953841,0.21353642298074113,0.10736903640674222,1680000.0000000005,1862763.6126470603,-182763.61264705984,182763.61264705984
Local,Hatchback,1000,0,Petrol,20,Karachi,Karachi,11.156264806643742,0.2909941216589263,0.05707836705530837,600000.0000000003,718626.8941898476,-118626.89418984728,118626.89418984728
Local,Sedan,1300,0,Petrol,8,Lahore,Islamabad,10.985309671896763,0.21353642298074113,0.06985807541164626,3474999.999999997,3574304.3077904466,-99304.30779044935,99304.30779044935
Local,Hatchback,1000,0,Petrol,19,Lahore,Other,10.819798284210286,0.2909941216589263,0.05779286155045305,685000.0000000005,785511.3265851947,-100511.32658519421,100511.32658519421
Imported,SUV,2700,1,Petrol,12,Lahore,Un-Registered,11.007103966325696,0.3168458315741613,0.01230879152999253,22500000.00000001,21911163.639295183,588836.360704828,588836.360704828
Imported,Unknown,1000,1,Petrol,6,Lahore,Un-Registered,9.99884318585288,0.3168458315741613,0.01640089636582118,4974999.999999998,4976455.163546116,-1455.163546117954,1455.163546117954
